Espece,Info,Race,Categorie,URL
chien,331,Kangal,Groupe 2,https://i.imgur.com/jaAcXvO.jpg
chien,3,Kerry Blue Terrier,Groupe 3,https://i.imgur.com/CdIUJt4.jpg
chien,318,Kishu Ken,Groupe 5,https://i.imgur.com/rn0UZdt.jpg
chien,53,Komondor,Groupe 1,https://i.imgur.com/nrQwB7F.jpg
chien,314,Kooikerhondje,Groupe 8,https://i.imgur.com/eZIrnWz.jpg
chien,192,Kromfohrländer,Groupe 9,https://i.imgur.com/JUhoiNP.jpg
chien,54,Kuvasz,Groupe 1,https://i.imgur.com/TR6gJ5M.jpg
chien,122,Labrador Retriever,Groupe 8,https://i.imgur.com/oc7IHlY.jpg
chien,298,Lagotto Romagnolo,Groupe 8,https://i.imgur.com/VO7Dsdh.jpg
chien,306,Laïka de Sibérie Occidentale,Groupe 5,https://i.imgur.com/FpcgBQw.jpg
chien,305,Laïka de Sibérie Orientale,Groupe 5,https://i.imgur.com/JYcwMe8.jpg
chien,365,Laïka de Yakoutie,Groupe 5,https://i.imgur.com/sbalV3t.jpg
chien,304,Laïka Russo-Européen,Groupe 5,https://i.imgur.com/Sir47oi.jpg
chien,70,Lakeland Terrier,Groupe 3,https://i.imgur.com/kaH81Fg.jpg
chien,360,Lancashire Heeler,Groupe 1,https://i.imgur.com/66sGRDF.jpg
chien,226,Landseer,Groupe 2,https://i.imgur.com/n0PiKZU.jpg
chien,145,Leonberg,Groupe 2,https://i.imgur.com/mcxDtjE.jpg
chien,228,Lévrier Afghan,Groupe 10,https://i.imgur.com/vabkNwQ.jpg
chien,164,Lévrier Ecossais,Groupe 10,https://i.imgur.com/vLy3Ovi.jpg
